season,player,pfr_id,tm,age,pos,g,gs,int,tgt,cmp,cmp_percent,yds,yds_cmp,yds_tgt,td,rat,dadot,air,yac,bltz,hrry,qbkd,sk,prss,comb,m_tkl,m_tkl_percent,loaded
2023,Jamal Adams,AdamJa00,SEA,28,SS,9,9,0,31,25,0.806,175,7,5.6,2,111.7,4.7,67,108,22,3,3,0,6,48,9,0.158,2024-09-04
2023,Mekhi Blackmon,BlacMe00,MIN,24,CB,15,3,1,52,32,0.615,295,9.2,5.7,2,81.8,10.5,184,111,0,0,0,0,0,41,2,0.047,2024-09-04
2023,Nick Bosa,BosaNi00,SF,26,DL,17,17,0,5,4,0.8,48,12,9.6,0,106.7,-2.8,-8,56,5,9,21,10.5,44,53,4,0.07,2024-09-04
2023,Terrell Edmunds,EdmuTe00,2TM,26,S,16,4,1,30,18,0.6,225,12.5,7.5,1,80.6,11.4,174,51,15,1,0,2.5,4,48,3,0.059,2024-09-04
2023,Alex Highsmith,HighAl02,PIT,26,LB,17,17,2,11,6,0.545,26,4.3,2.4,0,20.5,0.1,-23,49,61,7,11,7,26,57,3,0.05,2024-09-04
2023,Dane Jackson,JackDa02,BUF,27,CB,15,6,0,35,26,0.743,303,11.7,8.7,1,109.6,10.4,216,87,1,0,0,0,0,39,8,0.17,2024-09-04
2023,Greg Newsome,NewsGr00,CLE,23,CB,14,13,2,67,38,0.567,450,11.8,6.7,2,74.8,7.5,161,289,14,1,0,0.5,2,49,10,0.169,2024-09-04
2023,Jeff Okudah,OkudJe00,ATL,24,RCB,13,9,0,58,38,0.655,528,13.9,9.1,0,94.6,10.2,322,206,0,0,0,0,0,44,1,0.022,2024-09-04
2023,Ed Oliver,OlivEd00,BUF,26,DT,16,16,1,1,0,0,0,,0,0,0,-2,0,0,0,3,5,9.5,19,51,7,0.121,2024-09-04
2023,Patrick Peterson,PetePa00,PIT,33,LCB,17,16,2,64,38,0.594,494,13,7.7,4,91.5,10.3,309,185,6,0,0,0,0,42,11,0.208,2024-09-04
2023,AShawn Robinson,RobiAS00,NYG,28,DL,17,13,0,0,0,,0,,,0,,,0,0,0,1,0,0,1,62,1,0.016,2024-09-04
2023,AJ Terrell,TerrAJ00,ATL,25,CB,17,17,0,81,45,0.556,552,12.3,6.8,4,93.2,11,397,155,0,0,0,0,0,45,9,0.167,2024-09-04
2023,Shaquil Barrett,BarrSh00,TB,31,LOLB,16,16,1,18,14,0.778,106,7.6,5.9,0,68.1,3.3,38,68,34,6,8,4.5,19,52,4,0.071,2024-09-04
2023,Myles Garrett,GarrMy00,CLE,28,DE,16,16,0,1,0,0,0,,0,0,39.6,-4,0,0,0,6,16,14,37,42,4,0.087,2024-09-04
2023,Jaylon Jones,JoneJa13,IND,21,CB,17,10,0,62,35,0.565,354,10.1,5.7,5,99.8,9.5,288,66,0,0,0,0,0,44,2,0.043,2024-09-04
