Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
85,Kalif Raymond,28,DET,WR,17,7,3.76,2.76,36.2,1.41,23.4,8.5,12.8,4.6,10.0,0.12,23.5,0.00,0.0,0.00,103.4,AP-2,RaymKa00
86,DeAndre Carter,29,LAC,WR,17,7,3.82,2.71,31.6,1.71,19.5,7.2,12.1,4.5,8.9,0.00,,0.12,3.1,0.06,104.5,,CartDe02
87,James Conner,27,ARI,RB,13,13,4.46,3.54,23.1,1.00,-5.85,-1.7,28.9,8.2,-0.8,0.46,7.7,0.54,12.1,0.08,86.8,,ConnJa00
88,Antonio Gibson,24,WAS,RB,15,6,3.87,3.07,23.5,1.20,3.73,1.2,19.8,6.5,1.2,0.33,9.2,0.20,5.2,0.07,96.3,,GibsAn00
89,Marvin Jones,32,JAX,WR,16,10,5.06,2.88,33.1,1.81,27.1,9.4,5.94,2.1,13.2,0.00,,0.31,6.2,0.13,78.7,,JoneMa02
90,Darius Slayton,25,NYG,WR,16,11,4.44,2.88,45.3,1.88,28.9,10.0,16.4,5.7,12.5,0.13,23.0,0.44,9.9,0.13,96.2,,SlayDa01
91,Chase Claypool,24,2TM,WR,15,11,5.27,3.07,30.1,1.60,20.1,6.6,9.93,3.2,10.3,0.13,23.0,0.27,5.1,0.27,57.5,,ClayCh01
91,Chase Claypool,24,PIT,WR,8,8,6.25,4.00,38.9,2.13,25.8,6.4,13.1,3.3,9.5,0.25,16.0,0.13,2.0,0.25,71.3,,ClayCh01
91,Chase Claypool,24,CHI,WR,7,3,4.14,2.00,20.0,1.00,13.7,6.9,6.29,3.1,11.9,0.00,,0.43,10.3,0.29,33.7,,ClayCh01
92,Noah Brown,26,DAL,WR,16,13,4.63,2.69,34.7,1.56,26.7,9.9,8.00,3.0,10.8,0.25,10.8,0.38,8.1,0.25,72.7,,BrowNo00
93,Romeo Doubs,22,GNB,WR,13,7,5.15,3.23,32.7,1.54,17.6,5.5,15.1,4.7,9.4,0.00,,0.69,13.4,0.00,95.7,,DoubRo00
94,Juwan Johnson,26,NOR,TE,16,12,4.06,2.63,31.8,1.56,20.4,7.8,11.4,4.3,9.0,0.06,42.0,0.19,4.6,0.13,111.6,,JohnJu02
95,Isaiah McKenzie,27,BUF,WR,15,8,4.33,2.80,28.2,1.80,19.7,7.0,8.53,3.0,8.3,0.00,,0.40,9.2,0.13,90.7,,McKeIs00
96,Cade Otton,23,TAM,TE,16,11,4.06,2.63,24.4,1.19,13.6,5.2,10.9,4.1,4.9,0.13,21.0,0.31,7.7,0.00,91.2,,OttoCa00
97,Marquez Valdes-Scantling,28,KAN,WR,17,11,4.76,2.47,40.4,1.88,31.6,12.8,8.76,3.5,13.9,0.00,,0.29,6.2,0.06,83.7,,ValdMa00
98,Michael Carter,23,NYJ,RB,16,10,3.38,2.56,18.0,0.75,0.88,0.3,17.1,6.7,0.6,0.19,13.7,0.13,3.7,0.00,87.6,,CartMi03
99,Najee Harris,24,PIT,RB,17,17,3.12,2.41,13.5,0.94,1.06,0.4,12.4,5.1,1.7,0.24,10.3,0.18,5.7,0.00,103.4,,HarrNa00
100,Hunter Henry,28,NWE,TE,17,14,3.47,2.41,29.9,1.35,18.0,7.5,11.9,5.0,7.7,0.00,,0.18,5.1,0.06,100.2,,HenrHu00
101,Austin Hooper,28,TEN,TE,17,2,3.53,2.41,26.1,1.65,18.2,7.6,7.88,3.3,7.8,0.06,41.0,0.06,1.7,0.00,101.0,,HoopAu00
102,Rondale Moore,22,ARI,WR,8,8,7.00,5.13,51.8,2.00,16.6,3.2,35.1,6.9,5.5,0.63,8.2,0.75,10.7,0.00,99.9,,MoorRo02
103,Alec Pierce,22,IND,WR,16,12,4.88,2.56,37.1,1.75,30.0,11.7,7.06,2.8,11.7,0.00,,0.19,3.8,0.13,75.4,,PierAl00
