Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
265,Cedrick Wilson Jr.,27,MIA,WR,15,0,18,12,136,8,91,7.6,45,3.8,10.4,0,,0,0.0,0,89.1,,WilsCe01
269,Denzel Mims,25,NYJ,WR,10,4,25,11,186,7,111,10.1,75,6.8,12.6,3,3.7,3,12.0,1,53.1,,MimsDe00
272,David Sills,26,NYG,WR,9,5,17,11,106,7,66,6.0,40,3.6,7.8,0,,1,5.9,1,57.5,,SillDa01
277,Michael Bandy,25,LAC,WR,10,2,21,10,89,5,64,6.4,25,2.5,8.2,0,,1,4.8,0,59.4,,BandMi00
279,Keelan Cole,29,LVR,WR,14,3,21,10,141,8,121,12.1,20,2.0,16.0,0,,2,9.5,0,85.6,,ColeKe00
286,Byron Pringle,29,CHI,WR,11,4,16,10,135,8,121,12.1,14,1.4,14.7,0,,0,0.0,1,102.9,,PrinBy00
287,Khalil Shakir,22,BUF,WR,14,2,20,10,161,7,78,7.8,83,8.3,9.8,1,10.0,2,10.0,0,94.0,,ShakKh00
291,River Cracraft,28,MIA,WR,11,0,14,9,102,8,76,8.4,26,2.9,8.7,0,,0,0.0,1,95.8,,CracRi00
297,DeSean Jackson,36,BAL,WR,7,1,17,9,153,5,130,14.4,23,2.6,15.1,1,9.0,0,0.0,1,59.2,,JackDe00
298,Marcus Johnson,28,NYG,WR,14,7,22,9,99,6,63,7.0,36,4.0,10.6,0,,1,4.5,0,54.9,,JohnMa07
300,Jalen Nailor,23,MIN,WR,15,0,13,9,179,7,112,12.4,67,7.4,11.6,1,9.0,0,0.0,1,105.4,,NailJa00
301,Breshad Perriman,29,TAM,WR,11,3,19,9,110,5,58,6.4,52,5.8,14.2,1,9.0,2,10.5,0,83.2,,PerrBr02
307,Tom Kennedy,26,DET,WR,7,1,15,8,141,7,63,7.9,78,9.8,8.6,0,,1,6.7,1,57.9,,KennTo01
310,Kyle Philips,23,TEN,WR,4,0,13,8,78,3,57,7.1,21,2.6,7.7,0,,1,7.7,0,78.4,,PhilKy01
311,James Proche,26,BAL,WR,15,0,17,8,62,3,46,5.8,16,2.0,9.1,1,8.0,1,5.9,0,56.5,,ProcJa00
312,Jalen Reagor,23,MIN,WR,17,0,13,8,104,5,76,9.5,28,3.5,13.5,0,,0,0.0,2,72.8,,ReagJa00
314,Cam Sims,26,WAS,WR,17,3,18,8,89,5,71,8.9,18,2.3,12.9,0,,0,0.0,2,20.1,,SimsCa00
315,Jeff Smith,25,NYJ,WR,11,0,11,8,134,5,97,12.1,37,4.6,13.1,0,,0,0.0,1,75.6,,SmitJe03
316,Andre Baccellia,25,ARI,WR,8,0,10,7,45,4,34,4.9,11,1.6,9.1,0,,0,0.0,0,79.2,,BaccAn00
318,D'Wayne Eskridge,25,SEA,WR,10,0,13,7,58,4,12,1.7,46,6.6,4.2,1,7.0,0,0.0,0,65.5,,EskrDW00
319,KJ Hamler,23,DEN,WR,7,0,14,7,165,3,142,20.3,23,3.3,26.2,0,,0,0.0,1,63.1,,HamlKJ00
320,N'Keal Harry,25,CHI,WR,7,0,9,7,116,4,100,14.3,16,2.3,17.0,0,,0,0.0,0,155.8,,HarrNK00
321,T.Y. Hilton,33,DAL,WR,3,0,10,7,121,5,88,12.6,33,4.7,17.5,1,7.0,2,20.0,0,110.8,,HiltT.00
323,Velus Jones Jr.,25,CHI,WR,12,2,14,7,107,4,70,10.0,37,5.3,16.7,0,,1,7.1,0,99.4,,JoneVe00
329,Jamison Crowder,29,BUF,WR,4,0,13,6,60,4,30,5.0,30,5.0,9.3,0,,0,0.0,1,27.7,,CrowJa00
332,Kenny Golladay,29,NYG,WR,12,4,17,6,81,4,70,11.7,11,1.8,9.6,0,,4,23.5,0,71.0,,GollKe00
333,Brandon Johnson,24,DEN,WR,7,1,14,6,42,2,29,4.8,13,2.2,12.9,0,,0,0.0,1,44.3,,JohnBr23
337,Dax Milne,23,WAS,WR,15,1,7,6,37,2,24,4.0,13,2.2,5.4,1,6.0,0,0.0,0,128.3,,MilnDa00
338,Trent Taylor,28,CIN,WR,16,1,10,6,62,1,19,3.2,43,7.2,4.5,1,6.0,0,0.0,0,77.9,,TaylTr02
339,Laquon Treadwell,27,SEA,WR,6,0,10,6,42,3,31,5.2,11,1.8,5.2,0,,1,10.0,0,69.6,,TreaLa00
341,Cole Beasley,33,2TM,WR,4,1,7,6,35,1,21,3.5,14,2.3,3.7,0,,1,14.3,0,87.5,,BeasCo00
341,Cole Beasley,33,TAM,WR,2,0,5,4,17,1,7,1.8,10,2.5,2.4,0,,1,20.0,0,80.8,,BeasCo00
341,Cole Beasley,33,BUF,WR,2,1,2,2,18,0,14,7.0,4,2.0,7.0,0,,0,0.0,0,104.2,,BeasCo00
345,Dyami Brown,23,WAS,WR,15,0,14,5,143,5,112,22.4,31,6.2,25.8,1,5.0,0,0.0,0,114.0,,BrowDy00
353,Gunner Olszewski,26,PIT,WR,16,2,7,5,53,1,40,8.0,13,2.6,8.1,1,5.0,0,0.0,0,93.2,,OlszGu00
357,Deven Thompkins,23,TAM,WR,5,1,10,5,32,1,0,0.0,32,6.4,7.9,2,2.5,1,10.0,0,57.1,,ThomDe07
358,Samori Toure,24,GNB,WR,11,2,10,5,82,2,71,14.2,11,2.2,17.4,0,,0,0.0,0,111.2,,TourSa00
360,Michael Woods II,22,CLE,WR,10,0,10,5,45,3,28,5.6,17,3.4,15.9,0,,0,0.0,1,22.9,,WoodMi00
362,Chris Conley,30,2TM,WR,9,1,7,4,46,2,43,10.8,3,0.8,12.4,0,,2,28.6,0,77.1,,ConlCh00
362,Chris Conley,30,HOU,WR,2,0,2,0,0,0,0,,0,,9.0,0,,1,50.0,0,39.6,,ConlCh00
362,Chris Conley,30,TEN,WR,7,1,5,4,46,2,43,10.8,3,0.8,13.8,0,,1,20.0,0,105.0,,ConlCh00
