Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
110,Ben Skowronek,25,LAR,WR,14,11,4.36,2.79,26.9,1.14,17.1,6.1,9.79,3.5,7.9,0.0,,0.14,3.3,0.14,67.4,,SkowBe00
113,Josh Reynolds,27,DET,WR,14,11,4.21,2.71,34.2,1.79,26.0,9.6,8.21,3.0,11.9,0.0,,0.29,6.8,0.07,99.5,,ReynJo00
117,Nico Collins,23,HOU,WR,10,7,6.6,3.7,48.1,2.1,31.8,8.6,16.3,4.4,11.3,0.3,12.3,0.1,1.5,0.1,83.0,,CollNi00
118,Devin Duvernay,25,BAL,WR,14,13,3.5,2.64,29.1,1.36,17.9,6.8,11.1,4.2,9.0,0.0,,0.07,2.0,0.07,111.5,PB,DuveDe00
119,Elijah Moore,22,NYJ,WR,16,9,4.06,2.31,27.9,1.38,20.7,8.9,7.19,3.1,11.7,0.13,18.5,0.13,3.1,0.06,76.8,,MoorEl00
120,Isaiah Hodgins,24,2TM,WR,10,5,4.8,3.7,39.2,2.4,30.4,8.2,8.8,2.4,9.1,0.2,18.5,0.0,0.0,0.1,119.4,,HodgIs00
120,Isaiah Hodgins,24,BUF,WR,2,0,3.0,2.0,20.5,1.0,11.0,5.5,9.5,4.8,7.3,0.0,,0.0,0.0,0.0,86.1,,HodgIs00
120,Isaiah Hodgins,24,NYG,WR,8,5,5.25,4.13,43.9,2.75,35.3,8.5,8.63,2.1,9.3,0.25,16.5,0.0,0.0,0.13,123.3,,HodgIs00
122,Hunter Renfrow,27,LVR,WR,10,1,5.0,3.6,33.0,1.8,18.1,5.0,14.9,4.1,6.8,0.2,18.0,0.1,2.0,0.4,69.6,,RenfHu00
123,Kendrick Bourne,27,NWE,WR,16,2,3.0,2.19,27.1,1.38,18.1,8.3,9.06,4.1,10.3,0.13,17.5,0.25,8.3,0.13,90.1,,BourKe00
124,Jahan Dotson,22,WAS,WR,12,10,5.08,2.92,43.6,2.17,32.2,11.0,11.4,3.9,13.5,0.08,35.0,0.5,9.8,0.33,96.6,,DotsJa00
127,Jauan Jennings,25,SFO,WR,16,4,3.5,2.19,26.0,1.44,15.0,6.9,11.0,5.0,8.4,0.19,11.7,0.44,12.5,0.19,68.7,,JennJa00
128,Randall Cobb,32,GNB,WR,13,3,3.85,2.62,32.1,1.46,17.8,6.8,14.2,5.4,9.5,0.08,34.0,0.15,4.0,0.08,91.8,,CobbRa00
131,Treylon Burks,22,TEN,WR,11,6,4.91,3.0,40.4,1.73,25.7,8.6,14.6,4.9,11.6,0.18,16.5,0.27,5.6,0.27,70.3,,BurkTr00
135,Allen Robinson,29,LAR,WR,10,10,5.2,3.3,33.9,2.3,26.8,8.1,7.1,2.2,9.7,0.0,,0.1,1.9,0.1,93.3,,RobiAl02
136,Quez Watkins,24,PHI,WR,17,8,3.0,1.94,20.8,0.76,12.2,6.3,8.59,4.4,9.0,0.06,33.0,0.18,5.9,0.18,80.0,,WatkQu00
137,Corey Davis,27,NYJ,WR,13,10,4.92,2.46,41.2,2.15,32.8,13.3,8.38,3.4,13.4,0.08,32.0,0.15,3.1,0.15,76.0,,DaviCo03
140,Nelson Agholor,29,NWE,WR,16,7,3.31,1.94,22.6,0.75,13.6,7.0,9.0,4.6,12.4,0.06,31.0,0.19,5.7,0.19,68.3,,AghoNe00
144,DeVante Parker,29,NWE,WR,13,11,3.62,2.38,41.5,1.92,33.4,14.0,8.08,3.4,15.9,0.23,10.3,0.08,2.1,0.31,90.6,,ParkDe01
146,DJ Chark,26,DET,WR,11,10,4.73,2.73,45.6,2.18,33.5,12.3,12.2,4.5,15.2,0.0,,0.45,9.6,0.09,101.6,,CharDJ00
149,Trent Sherfield,26,MIA,WR,17,4,3.0,1.76,24.5,1.06,16.0,9.1,8.53,4.8,10.9,0.06,30.0,0.18,5.9,0.12,81.9,,SherTr00
154,Terrace Marshall Jr.,22,CAR,WR,14,9,3.36,2.0,35.0,1.71,24.9,12.5,10.1,5.0,12.3,0.07,28.0,0.21,6.4,0.0,102.3,,MarsTe00
156,Rashid Shaheed,24,NOR,WR,12,6,2.83,2.33,40.7,1.5,26.0,11.1,14.7,6.3,11.6,0.0,,0.08,2.9,0.0,138.4,,ShahRa00
161,Marquise Goodwin,32,SEA,WR,13,2,3.23,2.08,29.8,1.38,21.0,10.1,8.77,4.2,10.5,0.15,13.5,0.15,4.8,0.08,115.9,,GoodMa00
163,Laviska Shenault Jr.,24,CAR,WR,13,4,2.46,2.08,20.9,0.77,-4.46,-2.1,25.4,12.2,-0.7,0.0,,0.15,6.3,0.0,112.5,,ShenLa00
169,Mecole Hardman,24,KAN,WR,8,5,4.25,3.13,37.1,1.75,17.1,5.5,20.0,6.4,8.1,0.13,25.0,0.13,2.9,0.0,139.0,,HardMe00
170,Jarvis Landry,30,NOR,WR,9,3,4.33,2.78,30.2,1.33,23.4,8.4,6.78,2.4,9.6,0.11,25.0,0.22,5.1,0.22,71.7,,LandJa00
173,Nick Westbrook-Ikhine,25,TEN,WR,17,13,2.94,1.47,23.4,1.06,16.8,11.4,6.59,4.5,12.8,0.06,25.0,0.12,4.0,0.12,80.2,,WestNi00
176,David Bell,22,CLE,WR,16,3,2.19,1.5,13.4,0.44,8.69,5.8,4.69,3.1,7.1,0.19,8.0,0.19,8.6,0.25,45.1,,BellDa02
177,A.J. Green,34,ARI,WR,15,10,3.13,1.6,15.7,0.73,12.0,7.5,3.73,2.3,11.0,0.13,12.0,0.13,4.3,0.2,53.1,,GreeA.00
178,Kendall Hinton,25,DEN,WR,12,5,2.75,2.0,25.9,1.17,14.3,7.2,11.6,5.8,9.2,0.25,8.0,0.33,12.1,0.0,102.0,,HintKe00
